2019.05.02,1:20,1.12006,1.1201,1.11996,1.1201,83
2019.05.02,1:25,1.12009,1.12019,1.11994,1.12005,57
2019.05.02,1:30,1.12006,1.12009,1.11991,1.12005,59
2019.05.02,1:35,1.12007,1.12038,1.12006,1.12027,89
2019.05.02,1:40,1.12028,1.12036,1.12026,1.12026,60
2019.05.02,1:45,1.12025,1.12027,1.12022,1.12025,19
2019.05.02,1:50,1.12026,1.1203,1.12025,1.12026,38
2019.05.02,1:55,1.12025,1.12056,1.12023,1.12053,86
2019.05.02,2:00,1.12054,1.12058,1.12043,1.12043,74
2019.05.02,2:05,1.12044,1.12058,1.12044,1.12056,49
2019.05.02,2:10,1.12057,1.12084,1.12055,1.12078,101
2019.05.02,2:15,1.12079,1.12085,1.12074,1.12079,67
2019.05.02,2:20,1.12078,1.12083,1.12077,1.12078,30
2019.05.02,2:25,1.1208,1.12083,1.12074,1.12079,76
2019.05.02,2:30,1.1208,1.12084,1.12078,1.12084,45
2019.05.02,2:35,1.12083,1.12084,1.12077,1.12079,38
2019.05.02,2:40,1.12078,1.12082,1.12068,1.12077,85
2019.05.02,2:45,1.12076,1.12079,1.12068,1.12069,77
2019.05.02,2:50,1.12068,1.12081,1.12065,1.12078,68
2019.05.02,2:55,1.12077,1.12082,1.12073,1.12078,57
2019.05.02,3:00,1.12079,1.1208,1.12067,1.12068,84
2019.05.02,3:05,1.12067,1.12075,1.12047,1.12047,70
2019.05.02,3:10,1.12046,1.12058,1.12037,1.12037,102
2019.05.02,3:15,1.12036,1.12046,1.12033,1.12042,88
2019.05.02,3:20,1.12041,1.12048,1.12041,1.12047,39
2019.05.02,3:25,1.1205,1.12057,1.12047,1.12048,52
2019.05.02,3:30,1.12047,1.12048,1.12033,1.12035,91
2019.05.02,3:35,1.12034,1.12043,1.12034,1.12037,58
2019.05.02,3:40,1.12036,1.12036,1.12013,1.12016,62
2019.05.02,3:45,1.12015,1.12017,1.12002,1.12006,64
2019.05.02,3:50,1.12007,1.1201,1.12001,1.12007,67
2019.05.02,3:55,1.12006,1.12015,1.11993,1.12009,70
2019.05.02,4:00,1.12008,1.12019,1.12008,1.12014,74
2019.05.02,4:05,1.12015,1.12034,1.12014,1.12034,55
2019.05.02,4:10,1.12035,1.12042,1.12027,1.12028,88
2019.05.02,4:15,1.12027,1.12041,1.12027,1.12038,47
2019.05.02,4:20,1.12039,1.12048,1.12037,1.12044,85
2019.05.02,4:25,1.12045,1.12054,1.12044,1.12054,28
2019.05.02,4:30,1.12055,1.12076,1.12055,1.12057,133
2019.05.02,4:35,1.12058,1.12068,1.12054,1.12058,75
2019.05.02,4:40,1.12057,1.12058,1.12053,1.12054,25
2019.05.02,4:45,1.12055,1.12061,1.12052,1.12052,40
2019.05.02,4:50,1.12053,1.12058,1.12052,1.12057,43
2019.05.02,4:55,1.12056,1.1206,1.12053,1.12054,36
2019.05.02,5:00,1.12055,1.12055,1.12045,1.12052,90
2019.05.02,5:05,1.12051,1.12057,1.12045,1.12054,73
2019.05.02,5:10,1.12053,1.1206,1.12045,1.1206,71
